Event Name,Event Time,Location,Club,Image URL,Event URL,Description,Host Organizations,First Host Org,Perks,Categories,Start Time,End Time
Paper Airplanes Do's and Dont's of Tutoring,"Wednesday, February 26 at 5:00PM EST",Frey Hall 316,Paper Airplanes,https://se-images.campuslabs.com/clink/images/c053d177-2bfe-45d1-bfe7-673f3af5aac0072f5ee7-facd-4410-8b23-d22d014adcb4.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11095666,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Student Affairs Undergraduate Fellow Internship 2025-2026 - Virtual Information Sessions,"Wednesday, February 26 at 5:00PM EST",Online,Student Affairs,https://se-images.campuslabs.com/clink/images/b9c8ad60-2158-41c4-87d8-aaccf7169cd4c3d14fe0-12d0-4d3c-8326-eecaf108ca5a.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11100610,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
(Sp)Ace Affinity Group,"Wednesday, February 26 at 5:00PM EST",LGBTQ* Center,LGBTQ* Services,https://se-images.campuslabs.com/clink/images/c9b13cd9-722b-438e-acef-6657f777bdcfb561f589-2d05-4e11-bf51-b385e2f5dc2e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11040396,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Spring Flow Practice 2,"Wednesday, February 26 at 5:00PM EST",Union Rehearsal Space,Flow at SBU,N/A,https://stonybrook.campuslabs.com/engage/event/10931728,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
C3/SJS Information Session #2,"Wednesday, February 26 at 5:15PM EST",Lauterbur Classroom,Chávez Tubman and Nobel Community,https://se-images.campuslabs.com/clink/images/f9f0d377-26dc-4310-9328-ed381241a5587b005b22-883d-4626-8726-7cba35b41837.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11050582,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Rewriting Your Relationship with Food & Body,"Wednesday, February 26 at 5:00PM EST",Center for Prevention and Outreach,Unknown Club,N/A,https://stonybrook.campuslabs.com/engage/event/11078770,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Reading Black Feminism to Read Ourselves- English Education Workshop Series,"Wednesday, February 26 at 5:30PM EST",Online,Unknown Club,https://se-images.campuslabs.com/clink/images/6bf540aa-b4bb-4c24-a0cd-085fef4e55584cc0b7f9-2bf5-4149-82a6-1a31c4479f94.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11026519,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Hidden Treasures x Fashion Club GBM #4: Depop Workshop + Clothing Swap,"Wednesday, February 26 at 6:00PM EST",SAC 303,Unknown Club,https://se-images.campuslabs.com/clink/images/c28aa9be-836e-4d2b-b7db-2a05ea206ed46f5d8421-f3f9-402c-a384-568aa732869a.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11095447,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Spoken Word Poetry Club GBM,"Wednesday, February 26 at 6:00PM EST",Roth Cafe- Room 103,Spoken Word Poetry Club,https://se-images.campuslabs.com/clink/images/3e0c8b9f-bf81-457c-8755-98f989b0e52f5a7b9918-a279-4208-b763-e06ed2b268f0.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10915431,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Architecture and Urban Design Club: General Body Meeting,"Wednesday, February 26 at 6:00PM EST",SAC 302,Architecture and Urban Design Club,N/A,https://stonybrook.campuslabs.com/engage/event/10853813,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Mindful Moments,"Wednesday, February 26 at 6:00PM EST",Center for Prevention and Outreach,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/ac42c9c5-cc90-4490-a388-d0fea31cca6db08b62a6-543c-4c5e-98c2-5b12170dda8f.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11040516,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Beyond the Binary Affinity Group,"Wednesday, February 26 at 6:00PM EST",LGBTQ* Center,LGBTQ* Services,https://se-images.campuslabs.com/clink/images/435e0d75-d56c-433a-bd27-48b8e9ba11eaeadb6bac-4d10-4ed4-9490-b62ead42665e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11064767,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
